src_port,dst_port,protocol,duration,total_packets,total_bytes,syn_count,ack_count,fin_count,rst_count,psh_count,packet_rate,bytes_rate,iat_mean,iat_std,label
22444,123,17,73943,112,66431,0,30,0,0,5,1514.68,898408.233,0.344091,0.055826,BENIGN
1024,22,6,1683,233,649137,35,16,3,22,7,138443.256,385702317.291,0.017137,0.01168,ATTACK
46864,123,17,44984,160,159486,2,14,0,1,1,3556.82,3545393.918,0.87224,0.743181,BENIGN
38759,587,17,104980,55,20222,2,22,2,0,1,523.909,192627.167,1.048818,0.241965,BENIGN
45867,22,6,149355,15,91317,2,6,2,1,1,100.432,611409.059,0.763882,0.273644,BENIGN
56701,443,17,28666,115,95245,2,57,1,0,6,4011.721,3322577.269,0.272444,0.417876,BENIGN
8080,445,17,3858,1934,2495018,39,41,1,27,59,501296.008,646712804.562,0.003057,0.0442,ATTACK
17005,443,17,89184,12,129879,1,1,1,0,5,134.553,1456303.821,1.19877,0.272931,BENIGN
58716,22,17,146697,7,135730,0,0,0,1,7,47.717,925240.462,0.837213,0.193019,BENIGN
32225,587,17,118486,9,24693,1,1,1,0,4,75.958,208404.368,0.9993,0.295847,BENIGN
37296,22,17,112543,145,87014,1,58,1,1,4,1288.396,773162.258,0.353502,0.577306,BENIGN
8080,22,6,1619,1036,2040876,40,92,2,4,53,639901.174,1260578134.651,0.006226,0.012147,ATTACK
12783,123,6,141020,37,72209,0,1,2,1,2,262.374,512047.936,0.960426,0.602481,BENIGN
7747,53,17,124049,127,115766,1,23,0,1,7,1023.789,933227.999,0.17999,0.053209,BENIGN
33251,53,6,40774,43,147845,1,2,0,0,8,1054.594,3625962.623,1.149021,0.485448,BENIGN
52845,22,6,137989,102,118399,1,19,2,1,4,739.189,858032.162,0.857258,0.049124,BENIGN
1024,23,6,2217,482,668745,35,22,0,6,0,217410.916,301644113.667,0.012551,0.034779,ATTACK
31820,123,6,61680,78,74412,2,29,0,0,4,1264.591,1206420.233,1.183864,0.500421,BENIGN
44355,80,17,31087,144,59232,2,19,1,0,1,4632.161,1905362.37,0.098861,0.63431,BENIGN
40020,587,17,116121,36,123166,2,9,2,1,4,310.021,1060669.474,0.755704,0.395542,BENIGN
6295,22,6,114253,87,158559,1,1,0,0,0,761.468,1387788.504,1.499363,0.538153,BENIGN
8080,445,6,1485,2077,2186692,61,117,2,6,37,1398653.199,1472519865.32,0.013359,0.040898,ATTACK
64532,53,17,92215,109,87674,1,42,0,0,5,1182.02,950756.385,0.623351,0.39688,BENIGN
44447,443,6,120229,27,82748,1,5,0,1,8,224.571,688253.25,1.239142,0.00192,BENIGN
57998,22,17,109330,18,49473,2,5,2,1,7,164.639,452510.747,1.142386,0.163643,BENIGN
37017,80,17,115849,129,32131,0,30,2,0,4,1113.518,277352.416,0.83075,0.442249,BENIGN
1024,23,6,3830,631,655801,68,119,2,17,45,164751.958,171227415.144,0.008566,0.041901,ATTACK
65265,443,6,120743,146,38217,1,24,2,0,1,1209.18,316515.243,0.421609,0.632215,BENIGN
28217,123,17,1672,77,78564,2,37,2,1,2,46052.632,46988038.278,0.675356,0.387989,BENIGN
22810,22,17,120365,87,49754,2,15,2,1,3,722.801,413359.365,1.285459,0.329209,BENIGN
21876,587,17,100937,103,174282,2,9,1,0,2,1020.438,1726641.37,0.758414,0.472554,BENIGN
1024,443,6,4358,2021,74372,23,52,1,3,30,463744.837,17065626.434,0.023555,0.013986,ATTACK
41869,587,17,171350,25,86431,2,8,1,1,7,145.9,504412.022,1.309851,0.029683,BENIGN
5508,80,17,60634,28,114063,0,12,2,0,7,461.787,1881172.28,0.257884,0.240273,BENIGN
2921,53,17,15711,80,94269,1,27,0,0,8,5091.974,6000190.949,0.623957,0.545758,BENIGN
12824,80,6,21701,161,100581,2,30,1,0,3,7419.013,4634855.537,0.697113,0.203928,BENIGN
8080,3389,6,3861,1328,2302598,25,9,3,12,37,343952.344,596373478.373,0.009325,0.048139,ATTACK
46264,123,17,80199,55,101145,1,3,0,1,5,685.794,1261175.326,0.86647,0.794161,BENIGN
20372,53,17,72953,7,148654,2,0,2,1,4,95.952,2037668.088,1.165854,0.184865,BENIGN
53579,123,6,167885,53,163062,1,21,2,0,1,315.692,971272.002,1.356072,0.517426,BENIGN
21270,443,6,152931,98,34748,0,18,1,1,2,640.812,227213.58,0.309184,0.629424,BENIGN
8080,445,17,1397,1202,2031016,42,95,2,26,7,860415.175,1453841088.046,0.014316,0.00469,ATTACK
50448,80,17,147096,98,23972,1,0,1,0,7,666.232,162968.402,0.559193,0.59946,BENIGN
18205,22,17,168391,100,28702,2,14,1,0,8,593.856,170448.539,0.498729,0.488456,BENIGN
43468,53,17,80217,171,107332,0,17,0,0,4,2131.718,1338020.619,1.493932,0.09378,BENIGN
16411,22,6,102881,121,97558,2,60,2,1,2,1176.116,948260.612,1.329267,0.524283,BENIGN
9001,445,17,2341,284,1564115,32,56,3,8,54,121315.677,668139683.896,0.011199,0.049065,ATTACK
25097,22,17,16872,106,72620,0,7,1,0,3,6282.598,4304172.594,0.96614,0.47812,BENIGN
2423,53,17,64850,37,148300,0,2,2,0,3,570.547,2286815.729,1.221449,0.187166,BENIGN
51773,80,6,73685,42,34376,2,8,0,0,0,569.994,466526.43,0.206387,0.287236,BENIGN
52694,80,17,5136,49,69864,0,4,2,1,8,9540.498,13602803.738,0.179337,0.051783,BENIGN
9001,80,6,3752,2213,939247,10,93,2,15,41,589818.763,250332356.077,0.028939,0.00398,ATTACK
32414,443,17,29301,130,116577,0,10,1,0,1,4436.709,3978601.413,0.198025,0.49983,BENIGN
39386,22,17,100851,157,139382,1,58,2,1,1,1556.752,1382058.681,1.191713,0.092417,BENIGN
43931,587,6,113740,120,60198,1,21,1,1,6,1055.038,529259.715,1.097123,0.250726,BENIGN
21505,587,17,99120,44,124626,0,2,0,0,6,443.906,1257324.455,0.153881,0.591298,BENIGN
4444,445,6,4854,2450,2365870,47,85,0,14,22,504738.36,487406262.876,0.026271,0.047115,ATTACK
28741,587,6,76400,158,82206,1,13,2,0,2,2068.063,1075994.764,0.988537,0.180172,BENIGN
8116,123,17,31116,76,150796,0,27,2,0,4,2442.473,4846252.732,0.05314,0.219343,BENIGN
50989,123,17,93018,6,47854,0,3,0,0,0,64.504,514459.567,0.146719,0.424856,BENIGN
25678,443,17,90363,45,97307,1,10,2,0,0,497.991,1076845.612,0.241814,0.603794,BENIGN
1024,3389,6,2279,1964,1788446,67,77,3,14,17,861781.483,784750329.092,0.006859,0.026105,ATTACK
23645,443,6,75251,178,178161,2,62,2,1,0,2365.417,2367556.577,0.338572,0.787572,BENIGN
4614,53,6,80015,59,36275,1,9,1,0,0,737.362,453352.496,0.751104,0.345093,BENIGN
9490,443,6,132140,148,175424,1,9,1,0,6,1120.024,1327561.677,0.037925,0.737009,BENIGN
57523,123,17,151313,108,168109,1,18,0,1,0,713.752,1111001.698,1.449638,0.138327,BENIGN
49152,443,17,771,1938,454022,36,55,3,17,5,2513618.677,588874189.364,0.012175,0.016203,ATTACK
23274,80,17,45074,24,134120,2,1,2,0,5,532.458,2975551.316,0.533139,0.76662,BENIGN
43323,80,6,27949,42,67400,0,5,2,0,1,1502.737,2411535.296,0.273948,0.618506,BENIGN
33406,443,17,179555,149,168856,2,41,2,1,2,829.829,940413.801,0.665247,0.375668,BENIGN
42402,123,17,156037,19,92559,2,1,1,1,7,121.766,593186.231,0.066035,0.295621,BENIGN
